,id,gameid,platformid,queueid,seasonid,duration,creation,version
0,10,3187427022,EUW1,420,8,1909,1495068946860,7.10.187.9675
1,11,3187425281,EUW1,420,8,1693,1495066760778,7.10.187.9675
2,12,3187269801,EUW1,420,8,1482,1495053375889,7.10.187.9675
3,13,3187252065,EUW1,420,8,1954,1495050993613,7.10.187.9675
4,14,3187201038,EUW1,420,8,2067,1495047893400,7.10.187.9675
5,15,3187129136,EUW1,420,8,1593,1495044303031,7.10.187.9675
6,16,3187112816,EUW1,420,8,1589,1495042306859,7.10.187.9675
7,17,3186838875,EUW1,420,8,1664,1495026635492,7.10.187.9675
8,18,3186843487,EUW1,420,8,1875,1495024225924,7.10.187.9675
9,19,3184212544,EUW1,420,8,1541,1494859155283,7.9.186.8155
10,20,3184139041,EUW1,420,8,830,1494857923980,7.9.186.8155
11,21,3183199947,EUW1,420,8,1739,1494769120347,7.9.186.8155
12,22,3183149084,EUW1,420,8,1964,1494766338780,7.9.186.8155
13,23,3183142191,EUW1,420,8,1280,1494764416274,7.9.186.8155
14,24,3181648230,EUW1,420,8,2112,1494676934584,7.9.186.8155
15,25,3180173921,EUW1,420,8,2329,1494585099703,7.9.186.8155
16,26,3179228168,EUW1,440,8,2045,1494521072459,7.9.186.8155
17,27,3179176364,EUW1,440,8,1985,1494517779956,7.9.186.8155
18,28,3179126839,EUW1,440,8,2217,1494514934579,7.9.186.8155
19,29,3179074023,EUW1,440,8,2557,1494510773735,7.9.186.8155
20,30,3178970520,EUW1,420,8,1797,1494499251808,7.9.186.8155
21,31,3178915713,EUW1,420,8,2859,1494495702609,7.9.186.8155
22,32,3177809461,EUW1,420,8,1459,1494419840704,7.9.186.8155
23,33,3177775768,EUW1,420,8,1419,1494417712142,7.9.186.8155
24,34,3177764986,EUW1,420,8,1978,1494412363193,7.9.186.8155
25,35,3177742377,EUW1,420,8,1988,1494409790629,7.9.186.8155
26,36,3177689928,EUW1,420,8,1900,1494407387901,7.9.186.8155
27,37,3177272933,EUW1,420,8,1561,1494351869120,7.9.186.8155
28,38,3177199680,EUW1,420,8,2153,1494348831486,7.9.186.8155
29,39,3176695544,EUW1,420,8,2358,1494330368821,7.9.186.8155
30,40,3176569576,EUW1,420,8,2231,1494327445004,7.9.186.8155
31,41,3174586573,EUW1,420,8,1724,1494177699748,7.9.186.8155
32,42,3174132489,EUW1,420,8,2181,1494157363823,7.9.186.8155
33,43,3170379837,EUW1,420,8,1578,1493929196037,7.9.186.1051
34,44,3169677003,EUW1,420,8,1572,1493913440309,7.9.186.1051
35,45,3169602995,EUW1,420,8,2877,1493908759929,7.9.186.1051
36,46,3169473092,EUW1,420,8,1213,1493895283063,7.9.186.1051
37,47,3169439951,EUW1,420,8,1880,1493892962898,7.9.186.1051
38,48,3169425191,EUW1,420,8,1775,1493888820323,7.9.186.1051
39,49,3169413960,EUW1,420,8,1221,1493887053194,7.9.186.1051
40,50,3169412602,EUW1,420,8,1248,1493885311766,7.9.186.1051
41,51,3168609913,EUW1,420,8,1605,1493832156089,7.9.186.1051
42,52,3168542125,EUW1,420,8,2120,1493826382773,7.9.186.1051
43,53,3168504093,EUW1,420,8,1620,1493823648854,7.9.186.1051
44,54,3168467243,EUW1,420,8,1768,1493821270806,7.9.186.1051
45,55,3168420410,EUW1,420,8,1913,1493818672404,7.9.186.1051
46,56,3168336312,EUW1,420,8,196,1493811885648,7.9.186.1051
47,57,3168341609,EUW1,420,8,1723,1493808442656,7.9.186.1051
48,58,3167645287,EUW1,420,8,2043,1493754308572,7.8.184.113
49,59,3167587432,EUW1,420,8,1772,1493752015421,7.8.184.113
50,60,3167466983,EUW1,420,8,2470,1493746434682,7.8.184.113
51,61,3165347425,EUW1,420,8,1759,1493628456741,7.8.184.113
52,62,3165345195,EUW1,420,8,1223,1493626749085,7.8.184.113
53,63,3165342744,EUW1,420,8,2092,1493624210630,7.8.184.113
54,64,3165341225,EUW1,420,8,2081,1493621611041,7.8.184.113
55,65,3165330741,EUW1,420,8,2361,1493617771582,7.8.184.113
56,66,3164513044,EUW1,420,8,1619,1493561435208,7.8.184.113
57,67,3164411511,EUW1,420,8,1313,1493555285861,7.8.184.113
58,68,3164315414,EUW1,420,8,1697,1493553017133,7.8.184.113
59,69,3163812304,EUW1,420,8,1984,1493524294481,7.8.184.113
60,70,3162944332,EUW1,440,8,1907,1493468346353,7.8.184.113
61,71,3162795851,EUW1,440,8,2512,1493465303238,7.8.184.113
62,72,3162810817,EUW1,440,8,1367,1493463499617,7.8.184.113
63,73,3162409837,EUW1,440,8,2657,1493458379067,7.8.184.113
64,74,3162415287,EUW1,440,8,2015,1493455723423,7.8.184.113
65,75,3162402346,EUW1,440,8,1800,1493453435477,7.8.184.113
66,76,3162359896,EUW1,440,8,1704,1493450882180,7.8.184.113
67,77,3162338621,EUW1,440,8,2115,1493448172150,7.8.184.113
68,78,3162334395,EUW1,420,8,2424,1493433232096,7.8.184.113
69,79,3162333267,EUW1,420,8,1738,1493431023463,7.8.184.113
70,80,3161343935,EUW1,420,8,2595,1493376185666,7.8.184.113
71,81,3161190151,EUW1,420,8,1840,1493373819262,7.8.184.113
72,82,3161028019,EUW1,420,8,1889,1493347317686,7.8.184.113
73,83,3161017282,EUW1,420,8,1264,1493344688281,7.8.184.113
74,84,3160376453,EUW1,420,8,1781,1493301580536,7.8.184.113
75,85,3160328743,EUW1,420,8,2572,1493298364719,7.8.184.113
76,86,3160210359,EUW1,420,8,1911,1493287688006,7.8.184.113
77,87,3160145311,EUW1,420,8,2192,1493255571038,7.8.184.113
78,88,3160143236,EUW1,420,8,2344,1493252581634,7.8.184.113
79,89,3158774692,EUW1,420,8,2474,1493154391170,7.8.184.113
80,90,3158705460,EUW1,420,8,2228,1493151703708,7.8.184.113
81,91,3158644068,EUW1,420,8,2359,1493148711932,7.8.184.113
82,92,3158575423,EUW1,420,8,1482,1493146641939,7.8.184.113
83,93,3157499011,EUW1,420,8,1903,1493069221162,7.8.184.113
84,94,3157502606,EUW1,420,8,1560,1493067192599,7.8.184.113
85,95,3157455477,EUW1,420,8,1446,1493065202981,7.8.184.113
86,96,3156518170,EUW1,420,8,1996,1493034590480,7.8.184.113
87,97,3156375785,EUW1,420,8,2128,1492998240640,7.8.184.113
88,98,3156392733,EUW1,420,8,2177,1492994786891,7.8.184.113
89,99,3156340022,EUW1,420,8,2531,1492991827064,7.8.184.113
90,100,3156312130,EUW1,420,8,2001,1492985816655,7.8.184.113
91,101,3156270924,EUW1,420,8,1911,1492981620856,7.8.184.113
92,102,3156202556,EUW1,420,8,2442,1492978678816,7.8.184.113
93,103,3154757124,EUW1,420,8,1773,1492899743281,7.8.184.113
94,104,3154713876,EUW1,420,8,2632,1492896085377,7.8.184.113
95,105,3154635077,EUW1,420,8,1728,1492893831161,7.8.184.113
