,id,matchid,player,championid,ss1,ss2,role,position
0,9,10,1,19,4,11,NONE,JUNGLE
1,10,10,2,267,3,4,DUO_SUPPORT,BOT
2,11,10,3,119,7,4,DUO_CARRY,BOT
3,12,10,4,114,12,4,SOLO,TOP
4,13,10,5,112,4,3,SOLO,MID
5,14,10,6,72,11,4,NONE,JUNGLE
6,15,10,7,3,4,12,SOLO,TOP
7,16,10,8,103,14,4,SOLO,MID
8,17,10,9,222,7,4,DUO_CARRY,BOT
9,18,10,10,161,14,4,DUO_SUPPORT,BOT
10,19,11,1,115,3,4,DUO_SUPPORT,BOT
11,20,11,2,69,4,7,DUO_CARRY,BOT
12,21,11,3,157,14,4,SOLO,MID
13,22,11,4,4,4,12,SOLO,TOP
14,23,11,5,28,4,11,NONE,JUNGLE
15,24,11,6,51,7,4,DUO_CARRY,BOT
16,25,11,7,62,14,4,SOLO,TOP
17,26,11,8,134,4,1,SOLO,MID
18,27,11,9,43,14,4,DUO_SUPPORT,BOT
19,28,11,10,19,4,11,NONE,JUNGLE
20,29,12,1,119,4,7,DUO_CARRY,BOT
21,30,12,2,40,3,4,DUO_SUPPORT,BOT
22,31,12,3,99,4,21,SOLO,MID
23,32,12,4,32,4,11,NONE,JUNGLE
24,33,12,5,67,12,4,SOLO,TOP
25,34,12,6,103,14,4,SOLO,MID
26,35,12,7,254,11,4,NONE,JUNGLE
27,36,12,8,51,4,12,SOLO,TOP
28,37,12,9,267,3,4,DUO_SUPPORT,BOT
29,38,12,10,29,4,7,DUO_CARRY,BOT
30,39,13,1,7,14,4,SOLO,MID
31,40,13,2,222,4,7,DUO,BOT
32,41,13,3,19,4,11,NONE,JUNGLE
33,42,13,4,78,12,4,SOLO,TOP
34,43,13,5,238,4,14,DUO,BOT
35,44,13,6,18,4,7,DUO_CARRY,BOT
36,45,13,7,79,4,12,SOLO,TOP
37,46,13,8,11,4,11,NONE,JUNGLE
38,47,13,9,497,4,3,DUO_SUPPORT,BOT
39,48,13,10,127,4,14,SOLO,MID
40,49,14,1,61,12,4,SOLO,MID
41,50,14,2,6,12,4,SOLO,TOP
42,51,14,3,62,4,11,NONE,JUNGLE
43,52,14,4,51,4,7,DUO_CARRY,BOT
44,53,14,5,154,14,4,DUO_SUPPORT,BOT
45,54,14,6,236,4,7,DUO_CARRY,BOT
46,55,14,7,19,4,11,NONE,JUNGLE
47,56,14,8,43,4,3,DUO_SUPPORT,BOT
48,57,14,9,122,4,12,SOLO,TOP
49,58,14,10,25,4,14,SOLO,MID
50,59,15,1,21,7,4,DUO_CARRY,BOT
51,60,15,2,103,14,4,SOLO,MID
52,61,15,3,19,4,11,NONE,JUNGLE
53,62,15,4,412,4,3,DUO_SUPPORT,BOT
54,63,15,5,86,14,4,SOLO,TOP
55,64,15,6,267,3,4,DUO_SUPPORT,BOT
56,65,15,7,23,12,4,SOLO,TOP
57,66,15,8,64,11,4,NONE,JUNGLE
58,67,15,9,115,4,7,DUO_CARRY,BOT
59,68,15,10,157,4,12,SOLO,MID
60,69,16,1,11,11,4,NONE,JUNGLE
61,70,16,2,30,4,3,SOLO,MID
62,71,16,3,157,4,12,SOLO,TOP
63,72,16,4,236,4,7,DUO_CARRY,BOT
64,73,16,5,44,3,4,DUO_SUPPORT,BOT
65,74,16,6,38,4,14,SOLO,MID
66,75,16,7,75,12,4,SOLO,TOP
67,76,16,8,89,14,4,DUO_SUPPORT,BOT
68,77,16,9,29,7,4,DUO_CARRY,BOT
69,78,16,10,19,4,11,NONE,JUNGLE
70,79,17,1,11,11,4,NONE,JUNGLE
71,80,17,2,412,3,4,DUO_SUPPORT,BOT
72,81,17,3,222,4,7,DUO_CARRY,BOT
73,82,17,4,236,4,14,SOLO,MID
74,83,17,5,62,4,12,SOLO,TOP
75,84,17,6,122,4,6,SOLO,TOP
76,85,17,7,81,21,4,SOLO,MID
77,86,17,8,161,4,3,DUO_SUPPORT,BOT
78,87,17,9,51,7,4,DUO_CARRY,BOT
79,88,17,10,19,4,11,NONE,JUNGLE
80,89,18,1,99,4,14,SOLO,MID
81,90,18,2,22,7,4,DUO_CARRY,BOT
82,91,18,3,26,4,3,DUO_SUPPORT,BOT
83,92,18,4,59,12,4,SOLO,TOP
84,93,18,5,19,4,11,NONE,JUNGLE
85,94,18,6,412,4,3,DUO_SUPPORT,BOT
86,95,18,7,7,4,12,SOLO,MID
87,96,18,8,17,4,14,SOLO,TOP
88,97,18,9,64,4,11,NONE,JUNGLE
89,98,18,10,51,4,7,DUO_CARRY,BOT
90,99,19,1,420,4,12,SOLO,TOP
91,100,19,2,113,4,11,NONE,JUNGLE
92,101,19,3,96,7,4,DUO_CARRY,BOT
93,102,19,4,40,4,3,DUO_SUPPORT,BOT
94,103,19,5,84,14,4,SOLO,MID
95,104,19,6,127,4,14,SOLO,MID
96,105,19,7,236,7,4,DUO_CARRY,BOT
97,106,19,8,53,3,4,DUO_SUPPORT,BOT
98,107,19,9,58,4,12,SOLO,TOP
99,108,19,10,19,4,11,NONE,JUNGLE
