,id,win,item1,item2,item3,item4,item5,item6,trinket,kills,deaths,assists,largestkillingspree,largestmultikill,killingsprees,longesttimespentliving,doublekills,triplekills,quadrakills,pentakills,legendarykills,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,largestcrit,totdmgtochamp,magicdmgtochamp,physdmgtochamp,truedmgtochamp,totheal,totunitshealed,dmgselfmit,dmgtoobj,dmgtoturrets,visionscore,timecc,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,goldearned,goldspent,turretkills,inhibkills,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills,totcctimedealt,champlvl,pinksbought,wardsbought,wardsplaced,wardskilled,firstblood
0,1028382,0,1056,3001,1052,3020,1058,1026,3340,7,5,1,3,3,2,625,1,1,0,0,0,64852,50614,13718,519,0,14043,13092,430,519,204,1,107,0,1350,0,0,8439,2615,4667,1155,8175,6985,1,0,131,0,0,0,50,12,0,0,6,0,0
1,1028383,0,1041,2003,0,0,0,0,3340,0,0,0,0,0,0,0,0,0,0,0,0,8908,782,7394,732,0,0,0,0,0,553,1,26,0,0,0,0,1767,94,1673,0,1076,500,0,0,0,11,11,0,114,3,0,0,0,0,0
2,1028384,0,1036,2010,0,0,0,0,3340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,550,0,0,0,0,0,0,0,1,0,0,0,0,0
3,1028385,0,1055,2010,0,0,0,0,3340,0,0,0,0,0,0,0,0,0,0,0,0,3142,18,3123,0,0,368,0,368,0,0,0,0,0,0,0,0,372,58,314,0,872,500,0,0,11,0,0,0,0,2,0,0,0,0,0
4,1028386,0,2033,0,0,0,0,0,3340,0,0,0,0,0,0,0,0,0,0,0,0,3465,157,3308,0,0,776,90,686,0,0,0,7,0,0,0,0,497,0,497,0,872,500,0,0,11,0,0,0,0,3,0,0,0,0,0
5,1028387,0,3302,2010,0,0,0,0,3340,0,0,0,0,0,0,0,0,0,0,0,0,845,68,459,317,0,0,0,0,0,90,2,0,0,0,0,0,829,190,638,0,720,500,0,0,2,0,0,0,1,2,0,0,1,0,0
6,1028388,1,1056,2010,0,0,0,0,3340,0,0,0,0,0,0,0,0,0,0,0,0,4523,1376,2161,985,0,0,0,0,0,0,0,0,0,176,0,0,43,0,43,0,880,500,0,0,12,0,0,0,2,3,0,0,0,0,0
7,1028389,1,1055,0,0,0,0,0,3340,0,0,0,0,0,0,0,0,0,0,0,0,1865,40,1825,0,0,332,0,332,0,40,1,12,0,0,0,0,920,90,829,0,795,500,0,0,7,0,0,0,23,3,0,0,0,0,0
8,1028390,1,1039,2031,0,0,0,0,3340,0,0,0,0,0,0,0,0,0,0,0,0,6363,2109,3844,410,39,0,0,0,0,653,1,0,0,0,0,0,1463,352,1111,0,950,500,0,0,0,5,5,0,23,3,0,0,0,0,0
9,1028391,1,1055,2010,0,0,0,0,3340,0,0,0,0,0,0,0,0,0,0,0,0,4939,0,4939,0,285,686,0,686,0,52,1,5,0,0,0,0,395,0,395,0,929,500,0,0,14,0,0,0,0,2,0,0,0,0,0
10,1028392,1,2031,3303,0,0,0,0,3340,0,0,0,0,0,0,0,0,0,0,0,0,1030,453,577,0,0,473,249,224,0,0,0,0,0,0,0,0,265,0,265,0,748,500,0,0,0,0,0,0,7,2,0,0,1,0,0
11,1028393,0,1053,1001,3031,3085,3026,1038,3340,10,11,14,4,2,3,328,1,0,0,0,0,141165,988,139784,392,837,21756,511,20992,252,3512,2,9390,0,0,4,0,23465,10825,12365,274,12561,11400,0,0,171,15,4,11,77,16,0,0,3,0,0
12,1028394,0,1401,2031,3047,3025,0,0,3340,0,8,7,0,0,0,506,0,0,0,0,0,53269,21014,28666,3588,0,4755,2010,2321,424,5315,1,20102,0,0,10,0,22806,10120,12199,486,6977,6575,0,0,9,39,31,8,249,13,0,0,9,0,0
13,1028395,0,1055,3153,3085,3006,1038,0,3340,6,8,9,2,2,2,435,1,0,0,0,0,71760,449,62618,8692,317,11351,449,8685,2216,2063,1,7328,1088,994,13,0,22860,10247,11946,666,9803,8900,0,0,111,1,0,1,655,14,0,0,9,0,0
14,1028396,0,3027,3020,3116,3089,1058,0,3340,12,11,10,4,1,3,404,0,0,0,0,0,127453,115768,11591,93,615,25903,23740,2069,93,6476,1,14228,1668,683,2,0,29495,15669,12764,1061,12315,12100,0,0,171,0,0,0,552,16,0,0,2,0,0
15,1028397,0,1055,3085,3508,3006,3144,1042,3340,7,13,19,2,1,1,219,0,0,0,0,0,96132,6586,89399,145,440,15688,1830,13816,41,3360,1,11463,430,0,11,0,27040,13485,13322,232,10125,9550,0,0,83,4,2,2,312,14,0,0,7,2,1
16,1028398,1,3145,3151,3115,3006,3085,3135,3340,10,4,10,3,1,4,1156,0,0,0,0,0,173343,125697,44348,3296,428,27409,24480,2195,734,1470,1,6974,15681,8588,21,0,15775,5958,9357,460,15104,14000,4,2,216,15,7,8,616,18,0,0,14,0,0
17,1028399,1,3401,3110,3143,1029,3751,0,3340,2,11,23,0,1,0,216,0,0,0,0,0,29840,15031,8292,6516,0,11272,7089,3357,825,772,3,44954,261,261,10,0,26894,8675,17450,767,10661,9350,0,0,33,0,0,0,688,14,0,0,8,0,0
18,1028400,1,3072,3031,3006,3085,3086,1042,3340,14,7,5,6,3,3,434,4,3,0,0,0,147830,2449,144701,680,1694,21182,1317,19865,0,2005,4,11571,8144,8144,7,0,18923,3727,14886,310,14544,13000,2,0,168,7,1,6,39,14,0,0,5,0,0
19,1028401,1,3146,3191,1082,3285,3102,3108,3340,13,11,8,3,2,3,373,1,0,0,0,0,79009,68711,9327,970,0,28466,24767,2928,770,2533,1,12678,2483,2483,0,0,22593,6533,15825,234,12423,12200,1,0,84,0,0,0,12,14,0,0,1,0,0
20,1028402,1,1412,3812,3006,3046,3026,0,3340,11,2,3,7,2,2,983,2,0,0,0,0,159149,3431,142253,13464,564,11525,939,10196,390,8377,1,12658,22722,3110,17,0,19557,4595,13413,1548,13420,12450,1,1,53,87,54,33,475,16,1,0,9,1,0
21,1028403,1,3153,3046,3031,3087,3006,1036,3340,18,7,5,6,3,5,636,5,2,0,0,0,172373,27638,133217,11517,1100,35777,2707,27843,5226,4885,2,77,0,10125,0,0,19905,4652,14546,706,16045,14450,4,0,165,20,2,18,266,16,0,0,4,0,0
22,1028404,1,1401,3748,3153,3009,3065,1031,3340,19,6,11,7,3,4,627,4,1,0,0,0,152829,52878,92845,7106,0,23028,11169,10210,1648,14525,1,0,0,3887,0,0,37169,8253,27468,1447,16223,14075,2,0,67,61,47,14,531,16,2,0,10,1,1
23,1028405,1,1054,3143,3047,3068,3211,3067,3340,4,6,18,0,1,0,657,0,0,0,0,0,88402,63535,24759,108,0,17090,12027,4954,108,1483,1,781,0,1405,0,0,26703,5525,15760,5417,10968,9500,0,0,105,0,0,0,801,15,0,0,2,0,0
24,1028406,1,3190,3107,3158,3026,0,2302,3341,4,2,36,2,1,2,1390,0,0,0,0,0,46580,24810,18230,3539,0,13117,7108,4719,1289,13244,6,2666,0,2034,0,0,22225,5806,13586,2831,13144,9875,0,0,22,0,0,0,214,16,1,0,25,2,0
25,1028407,1,3165,3285,3020,2055,3089,0,3340,12,5,16,7,2,3,462,1,0,0,0,0,155077,139099,14801,1176,0,43253,41162,1352,738,1935,1,237,0,2672,0,0,15997,4731,10680,585,14504,11300,0,2,174,1,0,1,498,17,2,0,9,1,0
26,1028408,0,3401,2049,3117,3001,3068,0,3340,6,12,10,2,1,2,555,0,0,0,0,0,41527,23502,10482,7543,0,14313,9177,3926,1209,1564,3,2275,0,0,0,0,31660,11481,17255,2923,10152,9700,0,0,54,0,0,0,200,13,0,0,8,0,0
27,1028409,0,1055,3085,3031,2015,3086,3006,3340,5,11,8,3,2,1,441,1,0,0,0,0,112725,845,110589,1290,1071,21888,413,20832,642,4084,3,0,0,260,0,0,22962,11672,10529,759,10465,9900,0,0,163,0,0,0,184,14,0,0,6,1,0
28,1028410,0,3117,1408,3071,3156,0,0,3340,4,12,12,0,1,0,306,0,0,0,0,0,122372,4538,106731,11102,0,16526,2315,14001,210,11826,1,253,0,218,0,0,41103,18841,20359,1902,10600,10975,0,0,49,76,43,33,399,15,0,0,14,0,0
29,1028411,0,1082,3146,3157,3047,1058,0,3340,6,9,6,2,1,1,439,0,0,0,0,0,106491,93902,12409,179,0,16797,14935,1803,59,4339,1,626,0,308,0,0,26223,14966,9638,1618,10291,9150,0,0,153,0,0,0,28,15,0,0,3,1,0
30,1028412,0,3748,3111,3071,1043,1053,0,3340,5,13,6,2,2,1,397,1,0,0,0,0,93468,1117,88466,3884,517,20215,750,15598,3866,4637,4,0,0,1450,0,0,40684,19725,19153,1805,10605,10250,0,0,147,10,2,8,160,14,0,0,6,0,0
31,1028413,1,3303,3165,1056,3158,1058,1052,3340,4,4,7,3,1,1,435,0,0,0,0,0,29429,24784,4122,522,638,14439,12485,1432,522,6655,5,4650,5850,3461,12,0,11974,3682,8235,56,8159,6435,1,0,8,3,1,2,6,12,0,0,9,0,0
32,1028414,1,1055,3031,3006,3046,0,0,3340,2,5,5,0,1,0,551,0,0,0,0,0,92413,0,92413,0,962,12640,0,12640,0,2173,3,5958,8897,5582,7,0,13274,4282,8688,304,9885,7600,1,0,143,2,0,2,62,12,0,0,4,0,0
33,1028415,1,3143,3065,3111,3068,1056,0,3340,12,2,7,9,2,2,959,1,0,0,0,0,98700,75722,22978,0,0,22217,16142,6074,0,13698,1,31878,5015,4668,6,0,28741,13042,15449,250,11989,10300,3,0,111,0,0,0,499,15,0,0,4,0,0
34,1028416,1,3102,3165,1052,1026,3070,1028,3340,6,2,12,3,1,2,1154,0,0,0,0,0,87084,71306,13990,1788,0,16050,14271,1568,210,3198,1,7068,13977,5341,10,0,10702,3386,7280,36,11314,8635,2,0,134,7,5,2,1240,14,0,0,7,1,0
35,1028417,1,1419,3072,3006,3078,1051,0,3340,13,6,1,6,4,2,361,2,1,1,0,0,162988,1861,140132,20994,770,18191,53,14948,3189,7264,1,12519,18894,7036,22,0,23670,7767,15584,318,12990,11883,3,1,65,61,28,33,597,15,1,0,12,0,1
36,1028418,0,3047,3193,1031,3401,0,0,3340,5,5,6,3,1,1,1043,0,0,0,0,0,22922,10817,8393,3710,0,8910,4366,3914,630,1807,3,26033,488,488,7,0,19997,6139,12666,1192,7460,6850,0,0,25,0,0,0,60,11,0,0,6,0,0
37,1028419,0,1056,3165,3113,3057,1026,0,3340,1,9,3,0,1,0,415,0,0,0,0,0,54817,43491,10950,376,0,9606,7926,1394,286,3057,1,8603,2038,2038,0,0,18317,10199,7780,337,6620,6300,0,0,68,2,2,0,252,11,0,0,0,0,0
38,1028420,0,1408,3071,3193,3117,0,0,3340,10,8,5,4,2,3,553,2,0,0,0,0,73429,13733,54220,5476,0,14543,2981,11514,48,4297,1,20291,4902,1500,29,0,25571,11189,13491,890,9634,9310,1,0,29,40,26,14,253,12,1,0,24,0,0
39,1028421,0,3158,3116,3152,3211,1028,0,3340,3,7,4,2,2,1,373,1,0,0,0,0,77755,62950,14805,0,547,15756,14022,1733,0,11441,1,9836,840,840,7,0,23918,7850,15098,970,8107,7650,0,0,123,0,0,0,130,12,0,0,6,0,0
40,1028422,0,3006,3031,3085,0,0,0,3340,0,8,10,0,0,0,314,0,0,0,0,0,90388,746,88649,991,991,10021,501,9519,0,2092,3,6871,3548,1870,13,0,15441,7821,7087,532,8207,7880,1,0,134,18,5,13,28,12,0,0,6,2,0
